date,score,status,confidence_pct,BTC_REGIME,ETH_BTC,ETF_FLOW,STABLECOIN_LIQUIDITY,ALT_RS_BREADTH,BROAD_ROTATION_TREND,eth_btc_5d_pct,eth_btc_20d_pct,btc_etf_5d_usdm,eth_etf_5d_usdm,eth_etf_20d_usdm,eth_etf_accel_5d_usdm,stablecoin_7d_pct,stablecoin_14d_pct,stablecoin_30d_pct
2026-09-22,7,CONFIRMED,60,1,2,2,1,1,0,-0.2617891141950768,3.279176735238498,2306.2,536.5999999999999,1235.5000000000002,595.0999999999999,0.4492048921584946,0.4380903216769871,1.094835977572206
2026-09-23,7,CONFIRMED,60,1,2,2,1,1,0,-1.500787919062585,3.0995683277698305,2338.6,539.0999999999999,1238.0000000000002,597.5999999999999,0.470935356183122,0.1349083283375129,0.8398798289416032
2026-09-24,7,CONFIRMED,60,1,2,2,1,1,0,-1.7198524099195978,3.296324916930793,2684.2999999999997,746.5,1213.6999999999998,814.4,0.9029992404974818,0.6116271060963463,1.2259982291309202
