AKTYWO,ZAKRES,STATUS,1H_4H_1D,CENA,TREND_1D_0_4,RSI_1D,MFI_1D,STREFY_INTERWALY,STREFY_7_Z_7,BRAKUJACE_STREFY
ETH,PRODUCTION,DANE KOMPLETNE — TECHNIKA I STREFY GOTOWE,GOTOWE,2753.63,4,69.78959283195714,59.47351469746227,"1D,2D,3D,4D,5D,1T,2T",TAK,
SOL,PRODUCTION,DANE KOMPLETNE — TECHNIKA I STREFY GOTOWE,GOTOWE,118.57,4,69.44587335600242,62.49032941710636,"1D,2D,3D,4D,5D,1T,2T",TAK,
LINK,PRODUCTION,DANE KOMPLETNE — TECHNIKA I STREFY GOTOWE,GOTOWE,13.046,4,64.81991543568897,61.03802545369146,"1D,2D,3D,4D,5D,1T,2T",TAK,
ONDO,PRODUCTION,DANE KOMPLETNE — TECHNIKA I STREFY GOTOWE,GOTOWE,0.4413,4,65.65855107613669,68.64325123498635,"1D,2D,3D,4D,5D,1T,2T",TAK,
AAVE,TEST_VALIDATION,DANE RYNKOWE KOMPLETNE — BRAKUJE POTWIERDZONYCH STREF UŻYTKOWNIKA,GOTOWE,148.06,4,67.09314952544511,65.24573203679208,,NIE,"1D,2D,3D,4D,5D,1T,2T"
HBAR,TEST_VALIDATION,DANE RYNKOWE KOMPLETNE — BRAKUJE POTWIERDZONYCH STREF UŻYTKOWNIKA,GOTOWE,0.0991,4,79.6945984620717,75.3207408407051,,NIE,"1D,2D,3D,4D,5D,1T,2T"
