AKTYWO,CENA,LONG,TACTICAL,RYZYKO_0_10,ZGODNOSC,ALERT,TACTICAL_SCORE,LONG_DCA1,LONG_DCA2,LONG_DCA3,DATA_QUALITY,MARKET_PHASE,ROTATION,TACTICAL_INTERNAL,TACTICAL_REASON,IN_SUPPLY,IN_DEMAND,RESEARCH_ONLY
ETH,2733.61,CZEKAJ,WAIT,5,NEUTRAL,IN SUPPLY,6.0,2450.0,1975.0,1500.0,100,ALT_ROTATION_CANDIDATE,CORE_ALT,WAIT,Mixed setup,True,False,True
LINK,12.899,SPRAWDŹ,WAIT,5,NEUTRAL,IN SUPPLY,5.0,8.5,7.35,6.2,100,ALT_ROTATION_CANDIDATE,LEADER,WAIT,Mixed setup,True,False,True
ONDO,0.4363,CZEKAJ,WAIT,5,NEUTRAL,IN SUPPLY,5.0,0.348,0.274,0.2,100,ALT_ROTATION_CANDIDATE,WATCH,WAIT,Mixed setup,True,False,True
SOL,117.39,CZEKAJ,LONG_SETUP_WATCH,5,TACTICAL ONLY,IN SUPPLY,7.0,97.0,78.5,60.0,100,ALT_ROTATION_CANDIDATE,LEADER,LONG_SETUP_WATCH,Positive multi-timeframe alignment; timing not fully confirmed,True,False,True
