open_time,close_time,open,high,low,close,volume
2026-04-10 00:00:00+00:00,2026-04-10 03:59:59.999000+00:00,0.08937,0.08994,0.08835,0.08841,16796148.0
2026-04-10 04:00:00+00:00,2026-04-10 07:59:59.999000+00:00,0.08842,0.08879,0.08792,0.08804,16331960.0
2026-04-10 08:00:00+00:00,2026-04-10 11:59:59.999000+00:00,0.08805,0.08881,0.08775,0.08839,10720370.0
2026-04-10 12:00:00+00:00,2026-04-10 15:59:59.999000+00:00,0.08838,0.09001,0.08805,0.08912,17201437.0
2026-04-10 16:00:00+00:00,2026-04-10 19:59:59.999000+00:00,0.08913,0.09033,0.08892,0.09032,27371008.0
2026-04-10 20:00:00+00:00,2026-04-10 23:59:59.999000+00:00,0.09032,0.09049,0.08935,0.08951,11561087.0
2026-04-11 00:00:00+00:00,2026-04-11 03:59:59.999000+00:00,0.08951,0.08967,0.0883,0.08831,7456407.0
2026-04-11 04:00:00+00:00,2026-04-11 07:59:59.999000+00:00,0.0883,0.08836,0.08789,0.08812,9587640.0
2026-04-11 08:00:00+00:00,2026-04-11 11:59:59.999000+00:00,0.08813,0.08843,0.0879,0.08818,7148230.0
2026-04-11 12:00:00+00:00,2026-04-11 15:59:59.999000+00:00,0.08818,0.08859,0.08796,0.08812,8897944.0
2026-04-11 16:00:00+00:00,2026-04-11 19:59:59.999000+00:00,0.08812,0.08969,0.088,0.08968,20134329.0
2026-04-11 20:00:00+00:00,2026-04-11 23:59:59.999000+00:00,0.08969,0.08984,0.088,0.08832,14245984.0
2026-04-12 00:00:00+00:00,2026-04-12 03:59:59.999000+00:00,0.08831,0.0886,0.08667,0.08681,17874542.0
2026-04-12 04:00:00+00:00,2026-04-12 07:59:59.999000+00:00,0.08681,0.08692,0.08585,0.08626,19522039.0
2026-04-12 08:00:00+00:00,2026-04-12 11:59:59.999000+00:00,0.08626,0.08632,0.08584,0.086,10030214.0
2026-04-12 12:00:00+00:00,2026-04-12 15:59:59.999000+00:00,0.086,0.08604,0.08503,0.08552,11390628.0
2026-04-12 16:00:00+00:00,2026-04-12 19:59:59.999000+00:00,0.08552,0.08665,0.08547,0.0861,11683305.0
2026-04-12 20:00:00+00:00,2026-04-12 23:59:59.999000+00:00,0.08611,0.08653,0.08509,0.08516,9377889.0
2026-04-13 00:00:00+00:00,2026-04-13 03:59:59.999000+00:00,0.08516,0.08586,0.08502,0.08509,8415673.0
2026-04-13 04:00:00+00:00,2026-04-13 07:59:59.999000+00:00,0.08509,0.08595,0.0848,0.08502,10426018.0
2026-04-13 08:00:00+00:00,2026-04-13 11:59:59.999000+00:00,0.08501,0.08535,0.08439,0.08477,10360229.0
2026-04-13 12:00:00+00:00,2026-04-13 15:59:59.999000+00:00,0.08478,0.08634,0.08472,0.08502,26824519.0
2026-04-13 16:00:00+00:00,2026-04-13 19:59:59.999000+00:00,0.08502,0.0862,0.08455,0.08609,30501746.0
2026-04-13 20:00:00+00:00,2026-04-13 23:59:59.999000+00:00,0.08609,0.08813,0.08521,0.08778,30466978.0
2026-04-14 00:00:00+00:00,2026-04-14 03:59:59.999000+00:00,0.08778,0.08786,0.08643,0.0866,12778401.0
2026-04-14 04:00:00+00:00,2026-04-14 07:59:59.999000+00:00,0.0866,0.08677,0.08582,0.0864,12956357.0
2026-04-14 08:00:00+00:00,2026-04-14 11:59:59.999000+00:00,0.0864,0.08706,0.08636,0.08653,11353258.0
2026-04-14 12:00:00+00:00,2026-04-14 15:59:59.999000+00:00,0.08653,0.08776,0.08597,0.08614,25126593.0
2026-04-14 16:00:00+00:00,2026-04-14 19:59:59.999000+00:00,0.08614,0.08632,0.08454,0.08503,20700202.0
2026-04-14 20:00:00+00:00,2026-04-14 23:59:59.999000+00:00,0.08503,0.08514,0.08444,0.08505,7353695.0
2026-04-15 00:00:00+00:00,2026-04-15 03:59:59.999000+00:00,0.08505,0.08581,0.085,0.08522,7597210.0
2026-04-15 04:00:00+00:00,2026-04-15 07:59:59.999000+00:00,0.08522,0.08579,0.08485,0.08504,20232656.0
2026-04-15 08:00:00+00:00,2026-04-15 11:59:59.999000+00:00,0.08504,0.08615,0.08501,0.08584,10046765.0
2026-04-15 12:00:00+00:00,2026-04-15 15:59:59.999000+00:00,0.08585,0.08666,0.08553,0.08586,18214245.0
2026-04-15 16:00:00+00:00,2026-04-15 19:59:59.999000+00:00,0.08585,0.08744,0.08569,0.0871,14506682.0
2026-04-15 20:00:00+00:00,2026-04-15 23:59:59.999000+00:00,0.0871,0.08739,0.08614,0.08711,12197863.0
2026-04-16 00:00:00+00:00,2026-04-16 03:59:59.999000+00:00,0.08712,0.08768,0.08636,0.08756,13931463.0
2026-04-16 04:00:00+00:00,2026-04-16 07:59:59.999000+00:00,0.08755,0.08838,0.08741,0.08811,20253170.0
2026-04-16 08:00:00+00:00,2026-04-16 11:59:59.999000+00:00,0.08811,0.08874,0.0872,0.08762,15900073.0
2026-04-16 12:00:00+00:00,2026-04-16 15:59:59.999000+00:00,0.08763,0.08924,0.08682,0.0887,30631331.0
2026-04-16 16:00:00+00:00,2026-04-16 19:59:59.999000+00:00,0.0887,0.09089,0.08786,0.09087,26409006.0
2026-04-16 20:00:00+00:00,2026-04-16 23:59:59.999000+00:00,0.09086,0.09165,0.08975,0.09071,35144821.0
2026-04-17 00:00:00+00:00,2026-04-17 03:59:59.999000+00:00,0.0907,0.09089,0.08909,0.08918,13436790.0
2026-04-17 04:00:00+00:00,2026-04-17 07:59:59.999000+00:00,0.08918,0.09135,0.08859,0.0911,16515757.0
2026-04-17 08:00:00+00:00,2026-04-17 11:59:59.999000+00:00,0.0911,0.09186,0.09013,0.09106,29699882.0
2026-04-17 12:00:00+00:00,2026-04-17 15:59:59.999000+00:00,0.09106,0.09353,0.0909,0.09231,48111793.0
2026-04-17 16:00:00+00:00,2026-04-17 19:59:59.999000+00:00,0.09232,0.09306,0.0902,0.09089,29836493.0
