AKTYWO,OSTATNI_ZAMKNIETY_DZIEN,OSTATNI_ZAMKNIETY_PRZEPLYW_MLN_USD,5_DNI_MLN_USD,20_DNI_MLN_USD,30_DNI_MLN_USD,TREND,DZISIAJ_STATUS,DZISIAJ_PODGLAD_MLN_USD,DZISIAJ_KOMPLETNOSC_FUNDUSZY_PROC
BTC,2026-09-23,346.9,2653.1,2863.3,5184.599999999999,NAPŁYW PRZYSPIESZA,DZISIAJ BRAK JESZCZE WIERSZA W ŹRÓDLE,,0.0
ETH,2026-09-23,104.5,641.0999999999999,1340.0000000000002,2346.4,NAPŁYW PRZYSPIESZA,DZISIAJ BRAK JESZCZE WIERSZA W ŹRÓDLE,,0.0
