snapshot_id,symbol,asset_type,checkpoint,target_day,added_at_utc,captured_at_utc,capture_delay_days,source_report_generated_at_utc,engine_version,snapshot_sha256,data_quality_0_100,data_status,fast_score_0_10,fast_label,price,trend_1D_0_4,rsi_1D,mfi_1D,fomo_1D_0_10,onchain_long,onchain_tactical,engine_decision,btc_etf_label,eth_etf_label,immutable_after_write
BTC-D0-43b080d441b1,BTC,CRYPTO,D0,0.0,2026-09-23T15:12:00+00:00,2026-09-23T15:41:15.312796+00:00,0.020316,2026-09-23T15:21:40.001914+00:00,V8_ASSET_LAB_v0.5,43b080d441b134b9a66a87d752194f02981f58779be47f7caf2cef177864d885,65,DATA_READY,9.2,STRONG_CONTEXT,84536.2421875,4,66.00476586568848,57.24011663614341,0,,,,,,True
ETH-D0-7fccc2c5d27d,ETH,CRYPTO,D0,0.0,2026-09-23T14:45:00+00:00,2026-09-23T15:41:15.312796+00:00,0.039066,2026-09-23T15:21:40.001914+00:00,V8_ASSET_LAB_v0.5,7fccc2c5d27da8f31627eec32d2ff3ed0b691f90ae45dd20924fc9a3a1a30ee9,80,DATA_READY,8.97,STRONG_CONTEXT,2677.43994140625,4,62.69868754100649,57.69178949904314,0,9.0,9.0,CZEKAJ,,,True
ANET-D0-ce50cb6971b6,ANET,STOCK,D0,0.0,2026-09-23T14:45:00+00:00,2026-09-23T15:41:15.312796+00:00,0.039066,2026-09-23T15:21:40.001914+00:00,V8_ASSET_LAB_v0.5,ce50cb6971b683e1817758b58a97e143fc2cc3aa3113b508d436215b888bfdb5,55,PARTIAL,5.15,MIXED_CONTEXT,201.99000549316406,4,56.667369405531375,74.69674117253409,0,,,,,,True
